Shape of Dreams (Demo) 03/25
Jentry 2024-11 2025-01
Miside 2025-01

2023-10 ongoing | 🌕🌕🌕🌕🌕🌖 | US | 📅 | 🏗️ | ftb interactions | creation | life, light, space | addictive, automation, builds character, complexity endurance, convoluted, hostile tuning, nostalgia, player's pace, tedious, unfun, utterly unmarketable | n/a | accessibility
2024-02 2024-02 | 🌕🌕🌕🌕🌑🌑 | US | ⌛ | 🎮 | presentable liberty | themes | rage | capitalism, simple, stressful, tedious, utterly unmarketable | grimdark | n/a
2024-02 2024-02 | 🌕🌕🌕🌗🌑🌑 | US | ⌛ | 🎮 | little inferno | themes | rage | consumerism, simple | n/a | n/a
2024-01 2024-01 | 🌕🌕🌕🌕🌕🌑 | FR | ⌚ | 📺 | scavenger's reign | themes | life | ending, imagery, representation, sustainability, worldbuilding | n/a | n/a
2023-10 2024-01 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | 💛 | the coffin of andy and leyley | characters | doom | artstyle, characterizations, cycles | incest | n/a
2023-09 2023-12 | 🌕🌕🌕🌕🌕🌘 | US | 📅 | 📑 | triumph of time | characters | heart, rage, mind | climaxes, ensemble cast, humour, lore, morality, revolution, unreliable narration | n/a | n/a
2020-05 2023-12 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | 🧪 | caves of qud | discovery | light | system mastery, utterly unmarketable | n/a | n/a
2023-12 2023-12 | 🌕🌕🌕🌑🌑🌑 | CN | 🕰️ | 🎰 | genshin impact (personal server) | discovery | life | spectacle | n/a | representation
2023-12 2023-12 | 🌕🌕🌘🌑🌑🌑 | US | 🕰️ | 🔧 | undertale yellow | presentation | space | music, spectacle | nostalgia | representation
2023-09 2023-11 | 🌕🌕🌕🌕🌖🌑 | US | 📅 | 🔧 | modded celeste | mastery | space | builds character, deep tech, hostile tuning, mechanics, stressful, unapologetic | input dense, spectacle | n/a
2023-09 2023-10 | 🌕🌕🌕🌕🌕🌗 | JP | ⌚ | 🖼️ | girls' last tour | themes | void, light | characterizations, concrete flowers, philosophy, player's pace | n/a | n/a
2023-09 2023-09 | 🌕🌕🌕🌕🌖🌑 | US | 🕰️ | 💛 | lisa rpg, joyful | themes | rage | cycles, humour, imagery, misogyny, music, spectacle | abuse | n/a
2023-09 2023-09 | 🌕🌕🌕🌕🌗🌑 | JP | ⌚ | 🖼️ | kino's journey | immersion | mind | ephemerality, philosophy, player's pace, simple | morality | n/a
2023-09 2023-09 | 🌕🌕🌕🌕🌑🌑 | JP | ⌛ | 🎥 | witch from mercury | presentation | life | spectacle | gay, morality, war bad robots cool | n/a
2023-09 2023-09 | 🌕🌕🌖🌑🌑🌑 | JP | ⌚ | 📺 | lycoris recoil | characters | mind, heart | relationships, spectacle | n/a | fanservice
2013-01 2023-08 | 🌕🌕🌕🌘🌑🌑 | KR | 📅 | 🎰 | maplestory | presentation | life | comforting, nostalgia factor | mmo | n/a
2022-07 2023-07 | 🌕🌕🌕🌘🌑🌑 | CN | 📅 | 🎰 | arknights | mastery | time | cathartic challenges, complexity endurance | gacha | war
2023-07 2023-07 | 🌕🌕🌕🌑🌑🌑 | US | 🕰️ | 🧪 | pathos nethack | mastery | light | system mastery, utterly unmarketable | tedious | addictive
2023-02 2023-07 | 🌕🌕🌕🌑🌑🌑 | KR | 📅 | 🎰 | limbus company | mastery | space | cathartic challenges, complexity endurance | capitalism, gacha | n/a
2023-03 2023-07 | 🌕🌕🌗🌑🌑🌑 | CN | 📅 | 📑 | lord of the mysteries | immersion | life | imagery, lore | cynical | gender
2023-05 2023-06 | 🌕🌕🌕🌕🌗🌑 | JP | 🕰️ | ⚔️ | tears of the kingdom | immersion | breath, space | deep tech, humour, player's pace, simple | n/a | n/a
2023-06 2023-06 | 🌕🌕🌖🌑🌑🌑 | US | ⌚ | 🎮 | outer wilds | discovery | space | simple | overarching themes, relationships, spectacle, unfun | fakedeep, overhyped
2023-04 2023-04 | 🌕🌕🌕🌕🌑🌑 | JP | ⌛ | 💛 | unreal life | immersion | hope | artstyle, music | n/a | n/a
2023-01 2023-03 | 🌕🌕🌕🌕🌕🌘 | US | 📅 | 📰 | more than meets the eye | characters | rage, mind, heart | characterizations, climaxes, community, convoluted, ensemble cast, humour, morality, revolution | n/a | relationships
2023-03 2023-03 | 🌕🌕🌕🌕🌗🌑 | JP | 🕰️ | 💛 | 358 over 2 days | characters | doom, blood | builds character, characterizations, foils, tragedy | simple | n/a
2023-01 2023-02 | 🌕🌕🌕🌘🌑🌑 | JP | 🌙 | 🖼️ | kagerou project | characters | blood, time, mind | imagery, music | convoluted, lore, relationships, sacrifice | antagonists
2022-03 2022-11 | 🌕🌕🌑🌑🌑🌑 | JP | 🕰️ | 📺 | made in abyss | worldbuilding | mind | climaxes, guilt, lore | n/a | brutality, pedophilia
2010-06 2022-08 | 🌕🌕🌕🌖🌑🌑 | FR | 📅 | 🎮 | transformice | friends | time | builds character, co-op, deep tech, humour, mechanics, nostalgia, simple | tedious | addictive
2022-03 2022-05 | 🌕🌕🌕🌕🌘🌑 | JP | 🕰️ | ⚔️ | elden ring | discovery | space | builds character, hostile tuning, player's pace, stressful | input dense | n/a
2018-01 2022-05 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | 🃏 | slay the spire | mastery | light | hostile tuning, mods, system mastery | n/a | n/a
2022-03 2022-04 | 🌕🌕🌕🌖🌑🌑 | JP | 🕰️ | 💛 | the gray garden | presentation | space | artstyle | n/a | n/a
2022-04 2022-04 | 🌕🌕🌕🌑🌑🌑 | JP | ⌚ | 💛 | shtdwn | presentation | space | artstyle | n/a | n/a
2022-03 2022-03 | 🌕🌕🌕🌕🌘🌑 | JP | 🕰️ | 💛 | zeno | characterizations | heart | morality, relationships, unreliable narration | n/a | n/a
2022-02 2022-02 | 🌕🌕🌕🌕🌕🌘 | US | ⌛ | 🎮 | the beginner's guide | themes | heart | artstyle, characterizations, imagery, integrity, philosophy, reflexive, utterly unmarketable | n/a | n/a
2022-01 2022-02 | 🌕🌕🌕🌕🌖🌑 | KR | 🕰️ | 🃏 | library of ruina | mastery | light, time | artstyle, builds character, complexity endurance, convoluted, hostile tuning, lore, mechanics, mods, stressful, system mastery, unapologetic, utterly unmarketable | capitalism, cynical, grimdark | accessibility, antagonists, brutality
2011-04 2021-12 | 🌕🌕🌕🌖🌑🌑 | US | 📅 | ⚔️ | spiral knights | immersion | time | artstyle, co-op, deep tech, mechanics, music | n/a | addictive, nostalgia
2021-11 2021-11 | 🌕🌕🌕🌘🌑🌑 | JP | ⌚ | 💛 | farethere city | immersion | hope | philosophy | n/a | n/a
2019-09 2021-10 | 🌕🌕🌕🌗🌑🌑 | UK | 🕰️ | 📚 | matthew swift | environment | life | n/a | n/a | n/a
2021-07 2021-08 | 🌕🌕🌕🌕🌘🌑 | US | 🕰️ | 💛 | hello charlotte | immersion | mind | artstyle, lore, morality, philosophy | consumerism, relationships | n/a
2021-08 2021-08 | 🌕🌕🌕🌕🌑🌑 | US | ⌚ | 🖼️ | 17776 | philosophy | breath | artstyle, humour, philosophy | n/a | n/a
2021-07 2021-08 | 🌕🌕🌕🌖🌑🌑 | US | 🕰️ | 📺 | infinity train | characters | mind | morality | n/a | n/a
2018-11 2021-08 | 🌕🌕🌕🌖🌑🌑 | UK | 🕰️ | 📚 | the golem and the jinni | environment | heart | representation | n/a | n/a
2021-06 2021-07 | 🌕🌕🌕🌕🌑🌑 | JP | 🕰️ | ⚔️ | dark souls remastered | discovery | blood | simple, stressful | tedious, unapologetic | accessibility
2021-03 2021-04 | 🌕🌕🌕🌕🌕🌑 | US | 🕰️ | 💛 | deltarune ch1 | characters | void | artstyle, music, reflexive | n/a | n/a
2021-04 2021-04 | 🌕🌕🌕🌕🌑🌑 | US | ⌛ | 💛 | space funeral | presentation | hope | deconstructive, humour, reflexive | n/a | n/a
2021-03 2021-03 | 🌕🌕🌕🌕🌗🌑 | US | ⌚ | 📑 | stag beetles and broken legs | wit | breath | humour, philosophy | n/a | n/a
2021-02 2021-03 | 🌕🌕🌕🌕🌘🌑 | US | ⌚ | 💛 | lucah born of a dream | presentation | void | artstyle, gender, spectacle | n/a | stressful
2021-03 2021-03 | 🌕🌕🌕🌖🌑🌑 | US | 🕰️ | 📚 | lies of locke lamora | wit | life, time | climaxes, humour, spectacle | n/a | n/a
2019-11 2021-03 | 🌕🌕🌕🌖🌑🌑 | US | 📅 | 🏗️ | stardew valley | creation | time | mods, player's pace, simple, tedious | addictive | n/a
2021-02 2021-02 | 🌕🌕🌕🌖🌑🌑 | US | 🕰️ | ⚔️ | hyper light drifter | discovery | void | artstyle, hostile tuning, stressful | n/a | n/a
2020-12 2021-02 | 🌕🌕🌕🌗🌑🌑 | US | 🕰️ | 📚 | the goblin emperor | discovery | mind | climaxes, spectacle | simple | n/a
2020-10 2020-12 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | ⚔️ | hades | presentation | time | hostile tuning, spectacle | n/a | n/a
2020-12 2020-12 | 🌕🌕🌕🌘🌑🌑 | US | ⌚ | 🏗️ | reassembly | creation | time | artstyle, humour, theorycrafting | n/a | n/a
2020-11 2020-12 | 🌕🌕🌖🌑🌑🌑 | US | 🕰️ | 🏗️ | starbound | discovery | space | n/a | simple | derivative, tedious
2020-07 2020-08 | 🌕🌕🌕🌕🌗🌑 | JP | 🕰️ | ⚔️ | breath of the wild | immersion | breath | deep tech, humour, mechanics, player's pace, simple | n/a | gender
2017-09 2020-07 | 🌕🌕🌕🌕🌕🌘 | AU | 🕰️ | ⚔️ | hollow knight | discovery | void | artstyle, builds character, deep tech, derivative, hostile tuning, mods, player's pace, simple, stressful | imperialism, input dense, tedious | n/a
2020-03 2020-04 | 🌕🌕🌕🌘🌑🌑 | US | 🕰️ | 🎮 | ori and the blind forest, ori and the will of the wisps | discovery | space | n/a | n/a | n/a
2020-02 2020-02 | 🌕🌕🌕🌕🌘🌑 | US | 🌙 | 📑 | one by one | themes | blood | humour, philosophy | nostalgia | characterizations, gender
2019-02 2019-02 | 🌕🌕🌕🌕🌘🌑 | US | 🕰️ | 🎮 | celeste | mastery | space | accessibility, builds character, deep ptech, gender, hostile tuning, mechanics, mods, stressful | input dense | n/a
2015-09 2018-06 | 🌕🌕🌕🌕🌕🌗 | JP | 🕰️ | 💛 | undertale | themes | breath | characterizations, climaxes, compassion, humour, music, nostalgia, overarching themes | community | n/a
2017-11 2017-11 | 🌕🌕🌕🌕🌑🌑 | JP | 🕰️ | 🏗️ | opus magnum | creation | light | automation | n/a | n/a
2014-09 2017-06 | 🌕🌕🌕🌕🌕🌘 | US | 📅 | 🖼️ | homestuck | characters | nostalgia, breath, heart | artstyle, builds character, characterizations, climaxes, community, convoluted, ensemble cast, gender, humour, overarching themes, reflexive | n/a | racism, slurs
2014-04 2014-05 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | 🏗️ | terraria | creation | time | co-op, player's pace, simple | n/a | n/a
2012-03 2014-03 | 🌕🌕🌕🌖🌑🌑 | JP | 🌙 | ⚔️ | skyward sword | discovery | time | mechanics, simple, spectacle | derivative | n/a
2011-12 2013-12 | 🌕🌕🌕🌖🌑🌑 | JP | 🌙 | 🎮 | super mario galaxy 2 | discovery | space | humour, mechanics, simple, spectacle | derivative, input dense | n/a
2012-09 2013-06 | 🌕🌕🌕🌗🌑🌑 | US | 🕰️ | 🎮 | world of goo | discovery | space, rage | consumerism, simple | n/a | misogyny
2011-12 2013-04 | 🌕🌕🌕🌖🌑🌑 | JP | ⌛ | 🎥 | grave of the fireflies | themes | doom | tragedy, war | n/a | n/a
2024-11 2024-12 | 🌕🌕🌕🌕🌗🌑 | CN | 🕰️ | ⚔️ | nine sols | balance | life | game feel, artstyle, music | mechanics, themes | misogyny
